,data_type,image_file_name,audio_file_name,speaker,label
0,combined-audio-image,IMG_4169.JPG,9_theo_38.wav,theo,9
1,combined-audio-image,IMG_4925.JPG,9_jackson_48.wav,jackson,9
2,combined-audio-image,IMG_5546.JPG,9_jackson_5.wav,jackson,9
3,combined-audio-image,IMG_4542.JPG,9_nicolas_29.wav,nicolas,9
4,combined-audio-image,IMG_5866.JPG,9_yweweler_19.wav,yweweler,9
5,combined-audio-image,IMG_5917.JPG,9_nicolas_12.wav,nicolas,9
6,combined-audio-image,IMG_4108.JPG,9_nicolas_7.wav,nicolas,9
7,combined-audio-image,IMG_5379.JPG,9_nicolas_15.wav,nicolas,9
8,combined-audio-image,IMG_5571.JPG,9_jackson_40.wav,jackson,9
9,combined-audio-image,IMG_4643.JPG,9_theo_35.wav,theo,9
10,combined-audio-image,IMG_5969.JPG,9_nicolas_4.wav,nicolas,9
11,combined-audio-image,IMG_4703.JPG,9_yweweler_7.wav,yweweler,9
12,combined-audio-image,IMG_4623.JPG,9_yweweler_45.wav,yweweler,9
13,combined-audio-image,IMG_1188.JPG,9_yweweler_29.wav,yweweler,9
14,combined-audio-image,IMG_5389.JPG,9_theo_19.wav,theo,9
15,combined-audio-image,IMG_4138.JPG,9_jackson_34.wav,jackson,9
16,combined-audio-image,IMG_4275.JPG,9_theo_18.wav,theo,9
17,combined-audio-image,IMG_5725.JPG,9_yweweler_40.wav,yweweler,9
18,combined-audio-image,IMG_5785.JPG,9_theo_29.wav,theo,9
19,combined-audio-image,IMG_4795.JPG,9_jackson_19.wav,jackson,9
20,combined-audio-image,IMG_4284.JPG,8_yweweler_34.wav,yweweler,8
21,combined-audio-image,IMG_4137.JPG,8_nicolas_34.wav,nicolas,8
22,combined-audio-image,IMG_1126.JPG,8_jackson_39.wav,jackson,8
23,combined-audio-image,IMG_5242.JPG,8_nicolas_33.wav,nicolas,8
24,combined-audio-image,IMG_5161.JPG,8_nicolas_22.wav,nicolas,8
25,combined-audio-image,IMG_1187.JPG,8_theo_11.wav,theo,8
26,combined-audio-image,IMG_4231.JPG,8_yweweler_48.wav,yweweler,8
27,combined-audio-image,IMG_4314.JPG,8_yweweler_7.wav,yweweler,8
28,combined-audio-image,IMG_5484.JPG,8_theo_20.wav,theo,8
29,combined-audio-image,IMG_5754.JPG,8_theo_48.wav,theo,8
30,combined-audio-image,IMG_4834.JPG,8_yweweler_35.wav,yweweler,8
31,combined-audio-image,IMG_4804.JPG,8_jackson_49.wav,jackson,8
32,combined-audio-image,IMG_5590.JPG,8_yweweler_31.wav,yweweler,8
33,combined-audio-image,IMG_5284.JPG,8_jackson_8.wav,jackson,8
34,combined-audio-image,IMG_5673.JPG,8_theo_31.wav,theo,8
35,combined-audio-image,IMG_5348.JPG,8_jackson_32.wav,jackson,8
36,combined-audio-image,IMG_4733.JPG,8_nicolas_16.wav,nicolas,8
37,combined-audio-image,IMG_4723.JPG,8_theo_25.wav,theo,8
38,combined-audio-image,IMG_5713.JPG,8_jackson_15.wav,jackson,8
39,combined-audio-image,IMG_4294.JPG,8_nicolas_11.wav,nicolas,8
40,combined-audio-image,IMG_5957.JPG,7_yweweler_40.wav,yweweler,7
41,combined-audio-image,IMG_5024.JPG,7_yweweler_13.wav,yweweler,7
42,combined-audio-image,IMG_4178.JPG,7_nicolas_41.wav,nicolas,7
43,combined-audio-image,IMG_1145.JPG,7_yweweler_5.wav,yweweler,7
44,combined-audio-image,IMG_5483.JPG,7_jackson_17.wav,jackson,7
45,combined-audio-image,IMG_4503.JPG,7_nicolas_19.wav,nicolas,7
46,combined-audio-image,IMG_4783.JPG,7_yweweler_25.wav,yweweler,7
47,combined-audio-image,IMG_4843.JPG,7_yweweler_15.wav,yweweler,7
48,combined-audio-image,IMG_5230.JPG,7_nicolas_36.wav,nicolas,7
49,combined-audio-image,IMG_4483.JPG,7_theo_38.wav,theo,7
50,combined-audio-image,IMG_1165.JPG,7_jackson_30.wav,jackson,7
51,combined-audio-image,IMG_5864.JPG,7_nicolas_32.wav,nicolas,7
52,combined-audio-image,IMG_4963.JPG,7_jackson_47.wav,jackson,7
53,combined-audio-image,IMG_1216.JPG,7_theo_36.wav,theo,7
54,combined-audio-image,IMG_5241.JPG,7_nicolas_15.wav,nicolas,7
55,combined-audio-image,IMG_5014.JPG,7_theo_27.wav,theo,7
56,combined-audio-image,IMG_4262.JPG,7_jackson_32.wav,jackson,7
57,combined-audio-image,IMG_5283.JPG,7_jackson_6.wav,jackson,7
58,combined-audio-image,IMG_5702.JPG,7_theo_32.wav,theo,7
59,combined-audio-image,IMG_4388.JPG,7_theo_28.wav,theo,7
60,combined-audio-image,IMG_4942.JPG,6_yweweler_10.wav,yweweler,6
61,combined-audio-image,IMG_4323.JPG,6_theo_16.wav,theo,6
62,combined-audio-image,IMG_4209.JPG,6_jackson_25.wav,jackson,6
63,combined-audio-image,IMG_5611.JPG,6_nicolas_25.wav,nicolas,6
64,combined-audio-image,IMG_4409.JPG,6_theo_6.wav,theo,6
65,combined-audio-image,IMG_5621.JPG,6_nicolas_23.wav,nicolas,6
66,combined-audio-image,IMG_5148.JPG,6_theo_34.wav,theo,6
67,combined-audio-image,IMG_4590.JPG,6_yweweler_7.wav,yweweler,6
68,combined-audio-image,IMG_4600.JPG,6_jackson_43.wav,jackson,6
69,combined-audio-image,IMG_5386.JPG,6_nicolas_42.wav,nicolas,6
70,combined-audio-image,IMG_4912.JPG,6_nicolas_2.wav,nicolas,6
71,combined-audio-image,IMG_5013.JPG,6_theo_10.wav,theo,6
72,combined-audio-image,IMG_4922.JPG,6_jackson_46.wav,jackson,6
73,combined-audio-image,IMG_5863.JPG,6_yweweler_9.wav,yweweler,6
74,combined-audio-image,IMG_5987.JPG,6_nicolas_27.wav,nicolas,6
75,combined-audio-image,IMG_5366.JPG,6_theo_49.wav,theo,6
76,combined-audio-image,IMG_5752.JPG,6_yweweler_38.wav,yweweler,6
77,combined-audio-image,IMG_5059.JPG,6_yweweler_22.wav,yweweler,6
78,combined-audio-image,IMG_4462.JPG,6_jackson_41.wav,jackson,6
79,combined-audio-image,IMG_5843.JPG,6_jackson_37.wav,jackson,6
80,combined-audio-image,IMG_5587.JPG,5_yweweler_3.wav,yweweler,5
81,combined-audio-image,IMG_5502.JPG,5_yweweler_36.wav,yweweler,5
82,combined-audio-image,IMG_5178.JPG,5_jackson_49.wav,jackson,5
