,data_type,file_name,label
0,img,IMG_5411.JPG,9
1,img,IMG_4455.JPG,9
2,img,IMG_5815.JPG,9
3,img,IMG_5265.JPG,9
4,img,IMG_4895.JPG,9
5,img,IMG_5856.JPG,9
6,img,IMG_4315.JPG,9
7,img,IMG_1198.JPG,9
8,img,IMG_1218.JPG,9
9,img,IMG_5317.JPG,9
10,img,IMG_5516.JPG,9
11,img,IMG_4422.JPG,9
12,img,IMG_5327.JPG,9
13,img,IMG_5275.JPG,9
14,img,IMG_5496.JPG,9
15,img,IMG_4553.JPG,9
16,img,IMG_5338.JPG,9
17,img,IMG_5959.JPG,9
18,img,IMG_5825.JPG,9
19,img,IMG_5131.JPG,9
20,img,IMG_5600.JPG,8
21,img,IMG_4179.JPG,8
22,img,IMG_4562.JPG,8
23,img,IMG_5337.JPG,8
24,img,IMG_4484.JPG,8
25,img,IMG_5744.JPG,8
26,img,IMG_4336.JPG,8
27,img,IMG_4117.JPG,8
28,img,IMG_4047.JPG,8
29,img,IMG_5274.JPG,8
30,img,IMG_5231.JPG,8
31,img,IMG_5420.JPG,8
32,img,IMG_1299.JPG,8
33,img,IMG_5388.JPG,8
34,img,IMG_4774.JPG,8
35,img,IMG_4464.JPG,8
36,img,IMG_5724.JPG,8
37,img,IMG_5398.JPG,8
38,img,IMG_4552.JPG,8
39,img,IMG_5834.JPG,8
40,img,IMG_4086.JPG,7
41,img,IMG_5419.JPG,7
42,img,IMG_5060.JPG,7
43,img,IMG_4200.JPG,7
44,img,IMG_4313.JPG,7
45,img,IMG_4993.JPG,7
46,img,IMG_4611.JPG,7
47,img,IMG_4303.JPG,7
48,img,IMG_5632.JPG,7
49,img,IMG_4952.JPG,7
50,img,IMG_5672.JPG,7
51,img,IMG_4116.JPG,7
52,img,IMG_4701.JPG,7
53,img,IMG_5429.JPG,7
54,img,IMG_4431.JPG,7
55,img,IMG_5377.JPG,7
56,img,IMG_4463.JPG,7
57,img,IMG_1319.JPG,7
58,img,IMG_4377.JPG,7
59,img,IMG_5612.JPG,7
60,img,IMG_4272.JPG,6
61,img,IMG_5802.JPG,6
62,img,IMG_4782.JPG,6
63,img,IMG_1225.JPG,6
64,img,IMG_4992.JPG,6
65,img,IMG_5762.JPG,6
66,img,IMG_4550.JPG,6
67,img,IMG_5293.JPG,6
68,img,IMG_5482.JPG,6
69,img,IMG_5691.JPG,6
70,img,IMG_4312.JPG,6
71,img,IMG_5199.JPG,6
72,img,IMG_4302.JPG,6
73,img,IMG_4640.JPG,6
74,img,IMG_5661.JPG,6
75,img,IMG_5138.JPG,6
76,img,IMG_4962.JPG,6
77,img,IMG_5493.JPG,6
78,img,IMG_5406.JPG,6
79,img,IMG_5452.JPG,6
80,img,IMG_5872.JPG,5
81,img,IMG_4941.JPG,5
82,img,IMG_5512.JPG,5
83,img,IMG_4481.JPG,5
84,img,IMG_4461.JPG,5
85,img,IMG_5313.JPG,5
86,img,IMG_4931.JPG,5
87,img,IMG_4770.JPG,5
88,img,IMG_5710.JPG,5
89,img,IMG_5567.JPG,5
90,img,IMG_5731.JPG,5
91,img,IMG_1265.JPG,5
92,img,IMG_5821.JPG,5
93,img,IMG_5492.JPG,5
94,img,IMG_5290.JPG,5
95,img,IMG_4791.JPG,5
96,img,IMG_5395.JPG,5
97,img,IMG_5365.JPG,5
98,img,IMG_4186.JPG,5
99,img,IMG_4311.JPG,5
100,img,IMG_4053.JPG,4
101,img,IMG_4417.JPG,4
102,img,IMG_4270.JPG,4
103,img,IMG_4290.JPG,4
104,img,IMG_4113.JPG,4
105,img,IMG_4083.JPG,4
106,img,IMG_4490.JPG,4
107,img,IMG_5301.JPG,4
108,img,IMG_4321.JPG,4
109,img,IMG_4143.JPG,4
110,img,IMG_1243.JPG,4
111,img,IMG_5649.JPG,4
112,img,IMG_5167.JPG,4
113,img,IMG_4153.JPG,4
114,img,IMG_5374.JPG,4
115,img,IMG_4678.JPG,4
116,img,IMG_1295.JPG,4
117,img,IMG_5146.JPG,4
118,img,IMG_4385.JPG,4
119,img,IMG_4588.JPG,4
120,img,IMG_4577.JPG,3
121,img,IMG_1212.JPG,3
122,img,IMG_5595.JPG,3
123,img,IMG_4351.JPG,3
124,img,IMG_4687.JPG,3
125,img,IMG_5425.JPG,3
126,img,IMG_4889.JPG,3
127,img,IMG_4174.JPG,3
128,img,IMG_5809.JPG,3
129,img,IMG_5749.JPG,3
130,img,IMG_4152.JPG,3
131,img,IMG_1161.JPG,3
132,img,IMG_4799.JPG,3
133,img,IMG_4989.JPG,3
134,img,IMG_4112.JPG,3
135,img,IMG_4567.JPG,3
136,img,IMG_4536.JPG,3
137,img,IMG_4162.JPG,3
138,img,IMG_5648.JPG,3
139,img,IMG_5056.JPG,3
140,img,IMG_5093.JPG,2
141,img,IMG_4908.JPG,2
142,img,IMG_4131.JPG,2
143,img,IMG_1130.JPG,2
144,img,IMG_5124.JPG,2
145,img,IMG_5299.JPG,2
146,img,IMG_4998.JPG,2
147,img,IMG_4767.JPG,2
148,img,IMG_4706.JPG,2
149,img,IMG_5174.JPG,2
150,img,IMG_5687.JPG,2
151,img,IMG_1282.JPG,2
152,img,IMG_4898.JPG,2
153,img,IMG_5808.JPG,2
154,img,IMG_1324.JPG,2
155,img,IMG_5778.JPG,2
156,img,IMG_5930.JPG,2
157,img,IMG_4938.JPG,2
158,img,IMG_5818.JPG,2
159,img,IMG_1191.JPG,2
160,img,IMG_5164.JPG,1
161,img,IMG_1281.JPG,1
162,img,IMG_5951.JPG,1
163,img,IMG_5717.JPG,1
164,img,IMG_4234.JPG,1
165,img,IMG_4777.JPG,1
166,img,IMG_5235.JPG,1
167,img,IMG_4927.JPG,1
168,img,IMG_5757.JPG,1
169,img,IMG_4625.JPG,1
170,img,IMG_1261.JPG,1
171,img,IMG_5309.JPG,1
172,img,IMG_4140.JPG,1
173,img,IMG_5919.JPG,1
174,img,IMG_4615.JPG,1
175,img,IMG_5277.JPG,1
176,img,IMG_5413.JPG,1
177,img,IMG_1210.JPG,1
178,img,IMG_4766.JPG,1
179,img,IMG_5194.JPG,1
180,img,IMG_4674.JPG,0
181,img,IMG_1199.JPG,0
182,img,IMG_5776.JPG,0
183,img,IMG_5625.JPG,0
184,img,IMG_5142.JPG,0
185,img,IMG_5537.JPG,0
186,img,IMG_4170.JPG,0
187,img,IMG_4926.JPG,0
188,img,IMG_4776.JPG,0
189,img,IMG_5746.JPG,0
190,img,IMG_5466.JPG,0
191,img,IMG_4109.JPG,0
192,img,IMG_5562.JPG,0
193,img,IMG_1219.JPG,0
194,img,IMG_5183.JPG,0
195,img,IMG_4423.JPG,0
196,img,IMG_5582.JPG,0
197,img,IMG_4755.JPG,0
198,img,IMG_5132.JPG,0
199,img,IMG_5074.JPG,0
